να ψάξω|искать (сослагательное)
να μιλήσω|разговаривать (сослагательное)
να πάω|идти, ехать (сослагательное)
να δω|видеть (сослагательное)
να έρθω|приходить (сослагательное)
να γράψω|писать (сослагательное)
να διαβάσω|читать (сослагательное)
να μάθω|учить, узнавать (сослагательное)
να τρέξω|бежать (сослагательное)
να κοιμηθώ|спать (сослагательное)
να φάω|есть (сослагательное)
να πιω|пить (сослагательное)
να αγοράσω|покупать (сослагательное)
να πουλήσω|продавать (сослагательное)
να ξεκινήσω|начинать (сослагательное)
να κοιτάξω|смотреть (сослагательное)
να ακούσω|слушать (сослагательное)
να ταξιδέψω|путешествовать (сослагательное)
να κολυμπήσω|плавать (сослагательное)
να μείνω|проживать (сослагательное)
να κάτσω|сидеть (сослагательное)
να γίνω|становиться (сослагательное)
να ρωτήσω|спрашивать (сослагательное)
να απαντήσω|отвечать (сослагательное)
να δώσω|давать (сослагательное)
να πάρω|брать (сослагательное)
να ανοίξω|открывать (сослагательное)
να κλείσω|закрывать (сослагательное)
να περάσω|проходить (сослагательное)
να φτιάξω|создавать (сослагательное)
να καθαρίσω|чистить (сослагательное)
να πληρώσω|платить (сослагательное)
να γιορτάσω|праздновать (сослагательное)
να δουλέψω|работать (сослагательное)
να περιμένω|ждать (сослагательное)
να ετοιμάσω|подготавливать (сослагательное)
να παίξω|играть (сослагательное)
να πλέξω|вязать (сослагательное)
να προσέξω|заботиться (сослагательное)
να λείψω|отсутствовать (сослагательное)
να ανάψω|включать (сослагательное)
να γελάσω|смеяться (сослагательное)
να φορέσω|носить (сослагательное)
να πετάξω|летать (сослагательное)
να βάλω|класть (сослагательное)
να βγάλω|вынимать (сослагательное)
να καταλάβω|понимать (сослагательное)
να πλύνω|мыть (сослагательное)
να στείλω|отправлять (сослагательное)
να φέρω|приносить (сослагательное)
να φύγω|покидать (сослагательное)
να βγω|выходить (сослагательное)|10000
να βρω|находить (сослагательное)|10000
να πω|сообщать (сослагательное)
να μπω|входить (сослагательное)
να ζητήσω|запрашивать (сослагательное)
να τελειώσω|заканчиваться (сослагательное)
να βοηθήσω|помогать (сослагательное)
να ξυπνήσω|просыпаться (сослагательное)
να περπατήσω|гулять, ходить (сослагательное)
να σταματήσω|останавливаться (сослагательное)
να συναντήσω|встречать (сослагательное)
να αργήσω|опаздывать (сослагательное)
να τηλεφωνήσω|звонить (сослагательное)
να καλέσω|приглашать (сослагательное)
να αλλάξω|менять (сослагательное)
να βρεθώ|находиться (сослагательное)
να νοικιάσω|арендовать (сослагательное)
να αφήσω|оставлять (сослагательное)
να βάψω|красить (сослагательное)
να πονέσω|испытывать боль (сослагательное)
να διψάσω|хотеть пить (сослагательное)
να πεινάσω|хотеть есть (сослагательное)
να δημιουργήσω|создавать, творить (сослагательное)
να χρησιμοποιήσω|использовать (сослагательное)
να σχεδιάσω|планировать (сослагательное)
να δείξω|показывать (сослагательное)
να υποδείξω|указывать (сослагательное)
να μοιραστώ|делиться (сослагательное)
